"SampleID","PC1","PC2","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC1",2.50492366875718,1.6187964085068,"AMC1","361",2019-10-01,2019-09-24,"1","3","MR","Sample",FALSE
"AMC10",-14.0934620211165,0.37230928792362,"AMC10","373",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"AMC21",-0.386183062080316,-8.70605078968615,"AMC21","361",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC22",3.01179087549776,-0.112791757722559,"AMC22","363",2019-10-29,2019-09-24,"5","1","MR+A","Sample",FALSE
"AMC23",4.54643661388984,2.43933506566034,"AMC23","365",2019-10-29,2019-09-24,"5","3","MR","Sample",FALSE
"AMC24",4.17117093431157,-0.520358504084378,"AMC24","369",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC25",3.9271118132419,-0.0961289095745486,"AMC25","371",2019-10-30,2019-09-25,"5","3","MR","Sample",FALSE
"AMC26",-9.99514475764208,0.461814298933801,"AMC26","373",2019-10-30,2019-09-25,"5","1","MR+A","Sample",FALSE
"AMC27",3.94695587537714,0.491663066281056,"AMC27","384",2019-10-31,2019-09-26,"5","3","MR","Sample",FALSE
"AMC28",3.70211593390877,0.341881325660409,"AMC28","387",2019-11-01,2019-09-27,"5","1","MR+A","Sample",FALSE
"AMC30",3.3332228313409,0.674860375431672,"AMC30","399",2019-11-01,2019-09-28,"5","3","MR","Sample",FALSE
"AMC32",1.35653836099684,0.534351310349281,"AMC32","363",2019-11-12,2019-09-24,"7","1","MR+A","Sample",FALSE
"AMC33",1.63291238770425,-0.262453174679674,"AMC33","365",2019-11-12,2019-09-24,"7","3","MR","Sample",FALSE
"AMC35",4.82592977961694,-0.27178943632921,"AMC35","387",2019-11-15,2019-09-27,"7","1","MR+A","Sample",FALSE
"AMC36",3.69178066918457,0.495471682517888,"AMC36","373",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC37",1.14252129420476,-6.90585514070266,"AMC37","371",2019-11-13,2019-09-25,"7","3","MR","Sample",FALSE
"AMC38",2.7371645941611,1.13495873388164,"AMC38","369",2019-11-13,2019-09-25,"7","1","MR+A","Sample",FALSE
"AMC4",3.22282675090699,0.502534648074844,"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"AMC40",2.01581873320595,0.653115023626617,"AMC40","399",2019-11-15,2019-09-28,"7","3","MR","Sample",FALSE
"AMC42",2.3924722490565,1.32710827148857,"AMC42","363",2019-11-26,2019-09-24,"9","1","MR+A","Sample",FALSE
"AMC43",2.87026927460614,-0.546418393238347,"AMC43","365",2019-11-26,2019-09-24,"9","3","MR","Sample",FALSE
"AMC44",2.50577832558558,0.819525981984119,"AMC44","369",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"AMC45",2.32807037464064,-0.250477124693803,"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE
"AMC46",-14.2497143637997,3.19254878617791,"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"AMC47",2.52207081303724,0.796504896049573,"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE
"AMC49",-11.4587649634864,-1.07357313942914,"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"AMC5",-11.1478895029836,-1.33085553448348,"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE
"AMC50",-11.552983480538,0.526297022539108,"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE
"AMC52",3.90683437312588,-0.0884003390487514,"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE
"AMC53",3.93736688210305,0.140836881425423,"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"AMC54",2.61971420226503,0.934562487781337,"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE
"AMC55",2.06790266726235,0.865541819892628,"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE
"AMC57",4.00862428832493,0.773310480527597,"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE
"AMC59",2.06124851653693,-1.07217101915236,"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"AMC6",2.2755987305538,0.510366664576402,"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE
"AMC60",2.90659447566291,0.785793488881703,"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE
"AMC62",-12.1811859644504,4.160442590657,"AMC62","363",2019-12-24,2019-09-24,"13","1","MR+A","Sample",FALSE
"AMC64",-13.84596869967,2.97285122171395,"AMC64","369",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"AMC65",-13.0592230841536,-2.88612043370394,"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE
"AMC66",4.62659926582317,2.2342767678374,"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"AMC67",-2.94453829206606,-6.88812176733318,"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC68",-0.851389613465124,-4.69521247541145,"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE
"AMC69",4.13959330036977,1.63167074928172,"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC9",3.60841009647157,0.689974670366032,"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE
"AMC91",3.37062778697794,0.159224185374294,"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE
"AMC93",3.16455614882725,1.01503255307888,"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE
"AMC94",3.38441747761539,1.01499016117828,"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE
"AMC95",2.61063672012482,0.557209182667154,"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE
"AMC96",2.22122880241908,0.516410211442935,"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE
"AMC97",2.46861191775537,0.361207637503647,"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE
